Kuntosalin nimi
1|Ismo Laitela 0.04091539897901342|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
2|Ismo Laitela 0.7570496197525705|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
3|Ismo Laitela 0.7046398002419564|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
4|Ismo Laitela 0.10745840486571412|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
5|Ismo Laitela 0.8571856166219862|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
6|Ismo Laitela 0.9506503314970176|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
7|Ismo Laitela 0.26475772649916984|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
8|Ismo Laitela 0.36350210597207655|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
9|Ismo Laitela 0.9381394895017033|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
10|Ismo Laitela 0.7973457953556891|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
11|Ismo Laitela 0.5747332840676348|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
12|Ismo Laitela 0.937142439475397|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
13|Ismo Laitela 0.380814893872054|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
14|Ismo Laitela 0.6849392798134613|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
15|Ismo Laitela 0.24611161810396398|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
16|Ismo Laitela 0.903000947497001|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
17|Ismo Laitela 0.4756561074919291|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
18|Ismo Laitela 0.9506085213150364|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
19|Ismo Laitela 0.74009882473114|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
20|Ismo Laitela 0.2572748977372936|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
21|Ismo Laitela 0.6692290959096042|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
22|Ismo Laitela 0.39009460719647127|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
23|Ismo Laitela 0.4075313608212071|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
24|Ismo Laitela 0.788953272953041|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
25|Ismo Laitela 0.6098787093137064|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
26|Ismo Laitela 0.8113439739340293|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
27|Ismo Laitela 0.6324775675840912|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
28|Ismo Laitela 0.9651737408297125|Pihlajakatu 23|00140|Helsinki|0123456789|ismo.laitela@gmail.com|01.01.2020|01.03.2020
